entrada_time,salida_time,año,precio_entrada,precio_salida,resultado,pnl_usd,pnl_pct,capital,duracion_h,rango_imp_pct,tp1_hit,imp_low,imp_high
2021-01-02 09:00:00,2021-01-02 15:00:00,2021,39005.1,38541.88,SL,-19.54,-0.39,9980.46,6.0,3.5,True,38336.0,39689.0
2021-01-04 21:00:00,2021-01-04 22:00:00,2021,38510.69,38011.61,SL,-64.67,-1.3,9915.79,1.0,10.8,False,36793.0,40785.0
2021-01-07 22:00:00,2021-01-07 22:00:00,2021,35886.06,35521.9,SL,-50.31,-1.01,9865.48,0.0,3.2,False,35372.0,36514.0
2021-01-10 18:00:00,2021-01-10 18:00:00,2021,38587.07,38212.71,SL,-47.86,-0.97,9817.63,0.0,6.2,False,37633.0,39957.0
2021-01-14 23:00:00,2021-01-14 23:00:00,2021,39205.93,38910.78,SL,-36.95,-0.75,9780.67,0.0,2.6,False,38838.0,39849.0
2021-01-15 19:00:00,2021-01-15 19:00:00,2021,38350.22,38039.7,SL,-39.6,-0.81,9741.07,0.0,2.9,False,37925.0,39028.0
2021-01-16 11:00:00,2021-01-16 11:00:00,2021,39219.49,38981.77,SL,-29.52,-0.61,9711.55,0.0,9.5,False,37925.0,41514.0
2021-01-18 04:00:00,2021-01-18 12:00:00,2021,39026.2,39611.47,TP2,43.83,0.9,9755.38,8.0,1.5,True,38616.0,39188.0
2021-01-18 20:00:00,2021-01-18 23:00:00,2021,38504.41,38025.18,SL,-21.86,-0.45,9733.52,3.0,4.7,True,37654.0,39428.0
2021-01-24 01:00:00,2021-01-24 01:00:00,2021,38666.37,38193.31,SL,-59.54,-1.22,9673.98,0.0,1.9,False,38231.0,38939.0
2021-01-25 16:00:00,2021-01-25 17:00:00,2021,40478.71,41324.87,TP2,72.06,1.49,9746.04,1.0,11.8,True,38767.0,43343.0
2021-01-27 04:00:00,2021-01-27 04:00:00,2021,43064.7,42781.74,SL,-32.02,-0.66,9714.02,0.0,6.0,False,42167.0,44679.0
2021-01-28 13:00:00,2021-01-28 14:00:00,2021,43304.58,42768.77,SL,-60.1,-1.24,9653.93,1.0,7.5,False,41920.0,45045.0
2021-01-30 00:00:00,2021-01-30 00:00:00,2021,42275.12,42950.69,TP2,48.29,1.0,9702.22,0.0,7.5,True,40934.0,44009.0
2021-01-30 13:00:00,2021-01-30 14:00:00,2021,43308.86,43933.72,TP2,41.04,0.85,9743.26,1.0,4.9,True,42287.0,44343.0
2021-02-01 04:00:00,2021-02-01 05:00:00,2021,44627.71,45260.53,TP2,40.02,0.82,9783.28,1.0,7.4,True,43147.0,46357.0
2021-02-06 00:00:00,2021-02-06 00:00:00,2021,45025.45,44346.03,SL,-73.81,-1.51,9709.46,0.0,2.7,False,44251.0,45436.0
2021-02-06 13:00:00,2021-02-06 14:00:00,2021,44468.42,45358.67,TP2,68.06,1.4,9777.53,1.0,9.1,True,42982.0,46876.0
2021-02-07 03:00:00,2021-02-07 03:00:00,2021,45430.07,45038.89,SL,-42.09,-0.86,9735.43,0.0,6.3,False,44333.0,47132.0
2021-02-12 07:00:00,2021-02-12 08:00:00,2021,43650.85,43238.66,SL,-7.08,-0.15,9728.35,1.0,8.7,True,42190.0,45849.0
2021-02-13 02:00:00,2021-02-13 02:00:00,2021,46229.7,46632.26,TP2,13.49,0.28,9741.85,0.0,6.3,True,44648.0,47450.0
2021-02-17 23:00:00,2021-02-17 23:00:00,2021,46914.02,46302.23,SL,-63.52,-1.3,9678.33,0.0,4.6,False,45861.0,47994.0
2021-02-21 20:00:00,2021-02-21 20:00:00,2021,45112.88,45754.32,TP2,39.94,0.83,9718.26,0.0,6.3,True,43806.0,46558.0
2021-02-22 19:00:00,2021-02-22 19:00:00,2021,47208.03,47738.97,TP2,25.75,0.53,9744.01,0.0,19.6,True,43545.0,52074.0
2021-02-25 01:00:00,2021-02-25 01:00:00,2021,47113.67,47687.96,TP2,30.38,0.62,9774.39,0.0,2.2,True,46370.0,47373.0
2021-02-25 18:00:00,2021-02-25 20:00:00,2021,46721.48,46185.22,SL,-17.13,-0.35,9757.25,2.0,3.1,True,46011.0,47442.0
2021-02-26 07:00:00,2021-02-26 08:00:00,2021,45952.65,45654.99,SL,-31.6,-0.65,9725.65,1.0,6.5,False,44907.0,47830.0
2021-02-26 15:00:00,2021-02-26 15:00:00,2021,46519.38,46086.9,SL,-45.21,-0.93,9680.44,0.0,11.2,False,44545.0,49555.0
2021-02-27 03:00:00,2021-02-27 03:00:00,2021,48593.69,48261.92,SL,-33.05,-0.68,9647.39,0.0,11.3,False,46632.0,51918.0
2021-02-27 13:00:00,2021-02-27 13:00:00,2021,49729.92,49369.63,SL,-34.95,-0.72,9612.45,0.0,4.8,False,48877.0,51209.0
2021-03-03 15:00:00,2021-03-03 21:00:00,2021,59740.96,60911.1,TP2,65.31,1.36,9677.76,6.0,12.3,True,57036.0,64054.0
2021-03-04 09:00:00,2021-03-04 10:00:00,2021,63456.83,62979.09,SL,2.3,0.05,9680.06,1.0,3.4,True,62662.0,64821.0
2021-03-05 17:00:00,2021-03-05 20:00:00,2021,61062.62,62388.12,TP2,75.98,1.57,9756.04,3.0,8.3,True,59289.0,64200.0
2021-03-06 07:00:00,2021-03-06 07:00:00,2021,61826.59,61083.18,SL,-58.65,-1.2,9697.38,0.0,4.0,False,60640.0,63090.0
2021-03-07 09:00:00,2021-03-07 11:00:00,2021,59864.94,59396.06,SL,-37.98,-0.78,9659.41,2.0,5.6,False,58614.0,61916.0
2021-03-11 20:00:00,2021-03-11 21:00:00,2021,67624.39,68629.6,TP2,42.96,0.89,9702.37,1.0,9.0,True,65038.0,70918.0
2021-03-12 14:00:00,2021-03-12 14:00:00,2021,69227.08,70346.01,TP2,49.41,1.02,9751.78,0.0,5.2,True,67627.0,71134.0
2021-03-14 14:00:00,2021-03-14 15:00:00,2021,69525.68,70537.57,TP2,41.87,0.86,9793.64,1.0,8.4,True,67002.0,72636.0
2021-03-16 06:00:00,2021-03-16 08:00:00,2021,77901.64,76991.17,SL,-18.2,-0.37,9775.44,2.0,8.1,True,75281.0,81384.0
2021-03-17 13:00:00,2021-03-17 14:00:00,2021,76347.72,75677.08,SL,-42.93,-0.88,9732.51,1.0,6.1,False,74563.0,79077.0
2021-03-23 22:00:00,2021-03-24 03:00:00,2021,71261.58,72833.0,TP2,78.05,1.6,9810.56,5.0,6.7,True,69621.0,74291.0
2021-03-28 08:00:00,2021-03-28 12:00:00,2021,72746.19,74339.74,TP2,77.97,1.59,9888.53,4.0,8.7,True,70530.0,76687.0
2021-03-31 10:00:00,2021-03-31 11:00:00,2021,66799.82,68122.44,TP2,68.24,1.38,9956.76,1.0,6.8,True,65101.0,69514.0
2021-04-10 13:00:00,2021-04-10 13:00:00,2021,46483.41,45905.22,SL,-61.92,-1.24,9894.84,0.0,5.7,False,45295.0,47862.0
2021-04-17 16:00:00,2021-04-17 16:00:00,2021,34312.96,34712.84,TP2,28.21,0.57,9923.05,0.0,6.0,True,33272.0,35262.0
2021-04-18 21:00:00,2021-04-18 23:00:00,2021,34087.63,33706.94,SL,-15.84,-0.32,9907.21,2.0,2.8,True,33616.0,34566.0
2021-04-19 23:00:00,2021-04-20 00:00:00,2021,34073.65,33790.9,SL,-41.11,-0.83,9866.1,1.0,4.7,False,33459.0,35041.0
2021-04-20 18:00:00,2021-04-20 19:00:00,2021,34184.32,34535.72,TP2,21.39,0.43,9887.49,1.0,6.8,True,33005.0,35240.0
2021-04-23 23:00:00,2021-04-24 01:00:00,2021,36246.02,35593.15,SL,-49.9,-1.01,9837.6,2.0,8.2,True,34787.0,37649.0
2021-04-24 13:00:00,2021-04-24 13:00:00,2021,36990.6,37667.79,TP2,60.58,1.23,9898.18,0.0,7.5,True,35896.0,38601.0
2021-04-25 14:00:00,2021-04-25 14:00:00,2021,36449.3,36176.6,SL,-37.03,-0.75,9861.15,0.0,6.8,False,35538.0,37973.0
2021-04-25 21:00:00,2021-04-26 01:00:00,2021,36277.95,36743.91,TP2,33.95,0.69,9895.11,4.0,5.8,True,35241.0,37289.0
2021-04-27 12:00:00,2021-04-27 14:00:00,2021,37400.86,38024.05,TP2,52.85,1.07,9947.96,2.0,5.7,True,36489.0,38556.0
2021-05-02 23:00:00,2021-05-02 23:00:00,2021,33684.84,34198.3,TP2,46.11,0.93,9994.07,0.0,46.0,True,28518.0,41632.0
2021-05-06 21:00:00,2021-05-06 21:00:00,2021,38249.24,37995.93,SL,-33.09,-0.66,9960.98,0.0,5.6,False,37495.0,39609.0
2021-05-09 06:00:00,2021-05-09 07:00:00,2021,35924.65,36533.01,TP2,54.55,1.1,10015.52,1.0,13.2,True,34102.0,38590.0
2021-05-10 09:00:00,2021-05-10 09:00:00,2021,37635.96,37121.66,SL,-68.43,-1.37,9947.09,0.0,3.8,False,36887.0,38285.0
2021-05-12 17:00:00,2021-05-12 17:00:00,2021,37681.47,37957.5,TP2,6.96,0.14,9954.05,0.0,7.8,True,36136.0,38956.0
2021-05-13 02:00:00,2021-05-13 02:00:00,2021,38539.74,37968.21,SL,-73.81,-1.48,9880.25,0.0,18.0,False,35812.0,42258.0
2021-05-13 11:00:00,2021-05-13 15:00:00,2021,38055.86,37805.44,SL,7.07,0.14,9887.32,4.0,7.0,True,37121.0,39711.0
2021-05-17 12:00:00,2021-05-17 12:00:00,2021,33252.59,32771.45,SL,-71.53,-1.45,9815.79,0.0,7.0,False,32180.0,34420.0
2021-05-25 20:00:00,2021-05-25 21:00:00,2021,22243.29,22529.39,TP2,33.89,0.69,9849.67,1.0,9.3,True,21331.0,23311.0
2021-05-26 15:00:00,2021-05-26 15:00:00,2021,21968.84,22301.22,TP2,45.1,0.92,9894.77,0.0,7.3,True,21271.0,22824.0
2021-06-04 20:00:00,2021-06-04 22:00:00,2021,34314.47,34831.52,TP2,45.01,0.91,9939.78,2.0,14.3,True,32375.0,37017.0
2021-06-09 05:00:00,2021-06-09 06:00:00,2021,35044.82,34821.92,SL,8.21,0.17,9947.99,1.0,6.2,True,34287.0,36423.0
2021-06-14 02:00:00,2021-06-14 03:00:00,2021,33483.5,33347.81,SL,-20.16,-0.41,9927.84,1.0,15.2,False,31776.0,36595.0
2021-06-14 21:00:00,2021-06-14 21:00:00,2021,34054.99,34444.48,TP2,27.24,0.55,9955.08,0.0,7.0,True,32889.0,35193.0
2021-06-15 12:00:00,2021-06-15 12:00:00,2021,34947.49,35362.23,TP2,29.44,0.59,9984.52,0.0,10.0,True,33393.0,36733.0
2021-06-15 20:00:00,2021-06-15 20:00:00,2021,35341.43,35891.72,TP2,47.91,0.96,10032.43,0.0,4.8,True,34560.0,36203.0
2021-06-18 03:00:00,2021-06-18 03:00:00,2021,36674.28,36969.61,TP2,10.65,0.21,10043.08,0.0,10.3,True,34878.0,38456.0
2021-06-19 22:00:00,2021-06-19 23:00:00,2021,39095.96,39739.07,TP2,52.58,1.05,10095.66,1.0,6.8,True,37976.0,40552.0
2021-06-22 08:00:00,2021-06-22 08:00:00,2021,39667.75,40235.46,TP2,42.12,0.83,10137.78,0.0,5.7,True,38602.0,40813.0
2021-06-25 11:00:00,2021-06-25 11:00:00,2021,41168.55,41865.48,TP2,55.49,1.09,10193.27,0.0,3.3,True,40534.0,41870.0
2021-06-25 20:00:00,2021-06-25 20:00:00,2021,42997.62,43502.58,TP2,29.52,0.58,10222.79,0.0,15.5,True,40270.0,46500.0
2021-06-28 01:00:00,2021-06-28 02:00:00,2021,41410.32,41957.24,TP2,37.04,0.72,10259.84,1.0,9.8,True,39649.0,43537.0
2021-06-28 22:00:00,2021-06-28 23:00:00,2021,41764.06,41339.56,SL,-52.14,-1.02,10207.69,1.0,3.0,False,41201.0,42437.0
2021-07-04 03:00:00,2021-07-04 05:00:00,2021,41941.12,42842.77,TP2,79.05,1.55,10286.75,2.0,6.7,True,40958.0,43693.0
2021-07-04 22:00:00,2021-07-04 22:00:00,2021,39567.8,39295.75,SL,-35.36,-0.69,10251.38,0.0,5.8,False,38756.0,40999.0
2021-07-05 05:00:00,2021-07-05 06:00:00,2021,38843.43,38457.72,SL,-9.97,-0.19,10241.41,1.0,15.7,True,36578.0,42310.0
2021-07-08 11:00:00,2021-07-08 16:00:00,2021,39976.82,39491.19,SL,-21.41,-0.42,10220.0,5.0,7.6,True,38692.0,41618.0
2021-07-09 11:00:00,2021-07-09 15:00:00,2021,41099.85,40811.17,SL,5.03,0.1,10225.03,4.0,7.2,True,40043.0,42916.0
2021-07-12 09:00:00,2021-07-12 09:00:00,2021,38370.81,37998.07,SL,-49.66,-0.97,10175.37,0.0,6.8,False,37338.0,39867.0
2021-07-13 04:00:00,2021-07-13 07:00:00,2021,39845.9,40363.82,TP2,35.81,0.7,10211.18,3.0,3.5,True,39054.0,40412.0
2021-07-14 11:00:00,2021-07-14 12:00:00,2021,39551.42,39137.84,SL,-53.39,-1.05,10157.79,1.0,4.4,False,38796.0,40518.0
2021-07-14 20:00:00,2021-07-14 21:00:00,2021,40444.36,39889.62,SL,-29.27,-0.58,10128.53,1.0,6.0,True,39307.0,41674.0
2021-07-15 05:00:00,2021-07-15 11:00:00,2021,40911.61,40555.3,SL,-3.62,-0.07,10124.9,6.0,4.0,True,40261.0,41887.0
2021-07-16 12:00:00,2021-07-16 13:00:00,2021,41359.78,42134.24,TP2,64.46,1.27,10189.36,1.0,5.2,True,40499.0,42617.0
2021-07-21 18:00:00,2021-07-21 19:00:00,2021,40436.9,41093.27,TP2,52.24,1.03,10241.6,1.0,5.2,True,39500.0,41562.0
2021-07-22 05:00:00,2021-07-22 05:00:00,2021,41999.97,42380.11,TP2,15.95,0.31,10257.56,0.0,7.0,True,40461.0,43309.0
2021-07-22 22:00:00,2021-07-22 22:00:00,2021,42865.53,42607.16,SL,-30.91,-0.6,10226.64,0.0,8.2,False,41650.0,45055.0
2021-07-24 08:00:00,2021-07-24 08:00:00,2021,41367.95,41973.81,TP2,44.37,0.87,10271.01,0.0,5.6,True,40285.0,42551.0
2021-07-26 00:00:00,2021-07-26 00:00:00,2021,42337.09,41754.38,SL,-70.68,-1.38,10200.33,0.0,3.1,False,41602.0,42882.0
2021-07-27 11:00:00,2021-07-27 12:00:00,2021,41090.42,40742.65,SL,-43.17,-0.85,10157.16,1.0,6.5,False,40075.0,42683.0
2021-07-28 08:00:00,2021-07-28 09:00:00,2021,40590.1,41419.36,TP2,73.27,1.44,10230.44,1.0,5.9,True,39708.0,42062.0
