entry_dt,exit_dt,side,entry_px,exit_px,pnl,pnl_pct,result,equity
2017-01-11 07:00:00,2017-01-11 13:00:00,long,1051.8762439679545,1079.2955794692414,255.54040093305116,2.606707363012018,TP,10250.54040093305
2017-03-26 12:00:00,2017-03-26 19:00:00,long,2657.1099991818855,2707.6692008048244,189.82338057609434,1.9027891821755918,TP,10435.238511308678
2017-06-05 07:00:00,2017-06-06 19:00:00,short,3086.031086195864,3141.133041272108,-191.63490690229568,-1.7855281925940627,SL,10238.385985150728
2017-08-06 07:00:00,2017-08-06 15:00:00,long,5469.054567870463,5390.652900903724,-151.81825497194296,-1.4335506437864443,SL,10081.44853718621
2017-08-06 15:00:00,2017-08-06 17:00:00,long,5406.695119506523,5494.016792525417,157.6998721208944,1.6150656008668045,TP,10234.107685038512
2017-08-21 16:00:00,2017-08-22 01:00:00,long,6258.4993015712025,6209.51807482318,-85.17274856541057,-0.7826353313761032,SL,10143.817882630583
2017-10-08 08:00:00,2017-10-08 09:00:00,long,11204.969921739812,11026.554457638982,-166.51001015268557,-1.5922886482244756,SL,9972.235963536581
2017-11-27 09:00:00,2017-11-27 13:00:00,short,13953.984561752286,14220.526026462134,-195.56561701837802,-1.910145905137626,SL,9771.684228536435
2018-01-21 11:00:00,2018-01-21 12:00:00,long,7572.552029628169,7750.793369075071,225.00326524247595,2.3537816412421977,TP,9991.801651664642
2018-03-07 19:00:00,2018-03-08 03:00:00,long,13737.234403343786,13455.961933718796,-209.4776352657527,-2.0475188918413236,SL,9777.328115573058
2018-04-07 11:00:00,2018-04-07 22:00:00,long,14029.614397803649,14793.940326741045,527.5086385318842,5.447946802137715,TP,10299.948090047157
2018-05-15 05:00:00,2018-05-15 11:00:00,short,10687.772694921527,10927.607401552625,-236.39742302760047,-2.2440101738415477,SL,10058.400692974534
2018-07-12 08:00:00,2018-07-13 01:00:00,short,5482.628916518462,5166.373275367021,575.4617505376763,5.768321109579434,TP,10628.833243165722
2018-08-08 14:00:00,2018-08-08 16:00:00,short,5130.516184543267,5066.401451808738,127.57777405522613,1.2496741152028257,TP,10751.096600599365
2018-08-20 08:00:00,2018-08-20 09:00:00,long,5194.388503239189,5125.343529276457,-148.21007633071213,-1.3292223698646333,SL,10597.510975968353
2018-09-24 09:00:00,2018-09-24 11:00:00,long,2981.897802090393,2962.3645585094196,-74.68418553825678,-0.6550607994438946,SL,10517.528034942112
